Match_ID,Nombre_Eq1,Nombre_Eq2,Gol_Match_Eq1,Gol_Match_Eq2,GANADOR,Gls90_Eq1,Ast90_Eq1,G+A90_Eq1,G-PK90_Eq1,G+A-PK90_Eq1,SCA90_Eq1,GCA90_Eq1,Sh90_Eq1,SoT90_Eq1,SoT%_Eq1,G/Sh_Eq1,G/SoT_Eq1,GA90_Eq1,Save%_Eq1,SoTA90_Eq1,Gls90_Eq2,Ast90_Eq2,G+A90_Eq2,G-PK90_Eq2,G+A-PK90_Eq2,SCA90_Eq2,GCA90_Eq2,Sh90_Eq2,SoT90_Eq2,SoT%_Eq2,G/Sh_Eq2,G/SoT_Eq2,GA90_Eq2,Save%_Eq2,SoTA90_Eq2,Year,Num_SemiF_Eq1,Num_SemiF_Eq2
1,Dinamo Zagreb,Chelsea,1,0,hr Dinamo Zagreb,0.67,0.33,1.0,0.67,1.0,16.67,1.33,9.17,3.33,0.36,0.07,0.2,1.83,0.77,5.83,1.2,0.7,1.9,1.0,1.7,28.3,2.0,15.2,5.1,0.34,0.07,0.2,0.9,0.76,3.7,2023,0.0,8.0
2,Dortmund,Copenhagen,3,0,de Dortmund,1.37,1.25,2.62,1.37,2.62,21.12,2.62,12.12,3.38,0.28,0.11,0.41,0.87,0.83,4.5,0.17,0.17,0.33,0.17,0.33,15.0,0.17,9.0,2.67,0.3,0.02,0.06,2.0,0.71,6.33,2023,4.0,0.0
3,Celtic,Real Madrid,0,3,es Real Madrid,0.5,0.17,0.67,0.5,0.67,23.5,0.83,13.67,4.83,0.35,0.04,0.1,2.5,0.58,5.17,2.17,1.75,3.92,1.92,3.67,27.92,3.75,15.33,6.17,0.4,0.13,0.31,1.08,0.78,4.5,2023,4.0,32.0
4,Benfica,Maccabi Haifa,2,0,pt Benfica,2.5,1.6,4.1,2.0,3.6,25.4,4.7,13.3,4.8,0.36,0.15,0.42,1.3,0.68,3.1,1.17,1.0,2.17,1.0,2.0,23.33,2.17,12.67,3.5,0.28,0.08,0.29,3.5,0.5,7.0,2023,8.0,0.0
5,Salzburg,Milan,1,1,empate,0.83,0.5,1.33,0.67,1.17,22.33,1.5,14.0,4.5,0.32,0.05,0.15,1.5,0.7,5.0,1.17,0.75,1.92,1.0,1.75,20.17,2.08,11.25,3.5,0.31,0.09,0.29,0.92,0.81,4.33,2023,0.0,14.0
6,Sevilla,Manchester City,0,4,eng Manchester City,1.0,0.83,1.83,1.0,1.83,19.83,1.5,11.33,4.0,0.35,0.09,0.25,2.0,0.6,5.0,2.38,1.77,4.15,2.23,4.0,28.08,4.0,15.08,6.54,0.43,0.15,0.34,0.38,0.89,2.85,2023,0.0,4.0
7,Leipzig,Shakhtar,1,4,ua Shakhtar,1.62,1.5,3.12,1.62,3.12,19.5,2.62,11.0,4.25,0.39,0.15,0.38,2.12,0.62,4.88,1.33,1.17,2.5,1.33,2.5,13.33,2.33,7.5,2.5,0.33,0.18,0.53,1.67,0.74,6.33,2023,0.0,0.0
8,Paris S-G,Juventus,2,1,fr Paris S-G,1.87,1.5,3.38,1.75,3.25,22.37,3.5,12.38,5.12,0.41,0.14,0.34,1.25,0.74,4.38,1.5,1.33,2.83,1.5,2.83,23.33,2.67,13.0,4.17,0.32,0.12,0.36,2.17,0.66,5.33,2023,3.0,12.0
9,Ajax,Rangers,4,0,nl Ajax,1.83,1.5,3.33,1.67,3.17,18.33,3.33,10.67,3.67,0.34,0.16,0.45,2.67,0.62,6.17,0.33,0.17,0.5,0.17,0.33,11.67,0.67,7.17,1.67,0.23,0.02,0.1,3.67,0.61,8.5,2023,9.0,2.0
10,Eint Frankfurt,Sporting CP,0,3,pt Sporting CP,0.87,0.62,1.5,0.75,1.37,16.12,1.5,9.37,3.25,0.35,0.08,0.23,1.62,0.73,5.13,1.33,0.83,2.17,1.33,2.17,12.5,2.5,7.5,3.5,0.47,0.18,0.38,1.51,0.76,4.83,2023,1.0,0.0
